Hour_End,ERCOT
2002-01-31,29032.14219608771
2002-02-28,28063.141023327247
2002-03-31,27939.081008864345
2002-04-30,29087.466270604953
2002-05-31,32592.795921636458
2002-06-30,36497.16075843833
2002-07-31,38334.14477135232
2002-08-31,40954.21266159069
2002-09-30,36254.5782339667
2002-10-31,29451.386091467484
2002-11-30,26565.4305095593
2002-12-31,28684.432646863483
2003-01-31,30118.590171927794
2003-02-28,28774.282828952153
2003-03-31,27751.593590739903
2003-04-30,27890.01396734883
2003-05-31,34455.881516616035
2003-06-30,36993.55339529079
2003-07-31,39646.2853051076
2003-08-31,41454.067108288014
2003-09-30,33983.42760142725
2003-10-31,29940.93845097081
2003-11-30,28333.674801629466
2003-12-31,28923.459353411807
2004-01-31,29220.109317386446
2004-02-29,30328.093282822763
2004-03-31,27042.230354363594
2004-04-30,27899.454957140377
2004-05-31,32442.779439832404
2004-06-30,37337.64819456304
2004-07-31,40107.82596279823
2004-08-31,39821.14798517689
2004-09-30,37467.35517711309
2004-10-31,32967.940598097644
2004-11-30,27593.654939154796
2004-12-31,31140.606267001443
2005-01-31,29958.484841843212
2005-02-28,29805.859975125
2005-03-31,27799.414870494486
2005-04-30,28220.970221786432
2005-05-31,32599.39507086963
2005-06-30,40380.61107413234
2005-07-31,41958.61880790148
2005-08-31,42950.008154647614
2005-09-30,40709.51995277176
2005-10-31,33128.768875439986
2005-11-30,29530.97417793502
2005-12-31,31874.99836999953
2006-01-31,28461.635420316354
2006-02-28,30799.84427262796
2006-03-31,29155.031357210763
2006-04-30,32193.435060212756
2006-05-31,36209.732779374084
2006-06-30,40866.13689174838
2006-07-31,42589.58818768948
2006-08-31,46327.42773852078
2006-09-30,38636.205253645065
2006-10-31,32593.06083626241
2006-11-30,28815.017890972405
2006-12-31,31240.80572194049
2007-01-31,34424.36408504298
2007-02-28,32751.191999104856
2007-03-31,29022.19290608811
2007-04-30,29854.81334591694
2007-05-31,33797.66410234623
2007-06-30,38884.908753784395
2007-07-31,39182.19406227138
2007-08-31,44453.88389865672
2007-09-30,40021.34250692701
2007-10-31,34690.2173262433
2007-11-30,30487.88552391971
2007-12-31,32203.347962497337
2008-01-31,34034.33310989418
2008-02-29,31208.676888952457
2008-03-31,30440.547014368476
2008-04-30,31190.437888841094
2008-05-31,35689.06156975499
2008-06-30,43654.38577638333
2008-07-31,43458.94454410819
2008-08-31,43694.8419902366
2008-09-30,35632.72425840347
2008-10-31,32592.852567011825
2008-11-30,29286.2316319669
2008-12-31,32721.837990968746
2009-01-31,31395.983564335504
2009-02-28,30409.530412555032
2009-03-31,29712.247451911837
2009-04-30,29314.59096407328
2009-05-31,34913.67550179881
2009-06-30,43213.75320374851
2009-07-31,45507.17759983184
2009-08-31,44957.47991578453
2009-09-30,36614.0223578497
2009-10-31,32046.807226860117
2009-11-30,28650.75432988276
2009-12-31,34306.16570493899
2010-01-31,34942.11456972619
2010-02-28,35239.963831751484
2010-03-31,29571.338673673847
2010-04-30,29491.06587464434
2010-05-31,35728.28843202738
2010-06-30,44039.36900366815
2010-07-31,43265.990237895836
2010-08-31,47292.859940839284
2010-09-30,41419.497018322916
2010-10-31,32263.689023839288
2010-11-30,30002.15701328798
2010-12-31,32288.92671485863
2011-01-31,34235.96363160953
2011-02-28,35326.06986798065
2011-03-31,30219.65105476702
2011-04-30,33373.96150912798
2011-05-31,36434.2189013631
2011-06-30,45961.77887622024
2011-07-31,48809.19020721548
2011-08-31,51395.425682752975
2011-09-30,42377.035747064074
2011-10-31,34527.7210293369
2011-11-30,30497.10402720494
2011-12-31,33908.40391790625
2012-01-31,32372.935283703573
2012-02-29,31922.073855997023
2012-03-31,30581.18711376928
2012-04-30,33617.09256524643
2012-05-31,37976.02513338542
2012-06-30,43239.14078714137
2012-07-31,45778.218050601194
2012-08-31,47405.13945510565
2012-09-30,41761.07473547024
2012-10-31,34083.662212843745
2012-11-30,30772.016415579168
2012-12-31,33200.29204431905
2013-01-31,34622.711827816966
2013-02-28,31428.072768955357
2013-03-31,31531.93380462681
2013-04-30,32198.514308611608
2013-05-31,35912.444006485115
2013-06-30,44285.87927707143
2013-07-31,44712.92902789435
2013-08-31,48168.85461735268
2013-09-30,44187.84534489405
2013-10-31,34772.06136596279
2013-11-30,33044.19746537167
2013-12-31,37584.178714592854
2014-01-31,37414.494594755946
2014-02-28,38051.61974950893
2014-03-31,33617.409768122874
2014-04-30,33020.97830668601
2014-05-31,36226.969111909224
2014-06-30,43054.645800639286
2014-07-31,46182.33443925298
2014-08-31,48151.833633155955
2014-09-30,43129.931026254475
2014-10-31,37570.666255726195
2014-11-30,34356.24264239681
2014-12-31,34213.511658279764
2015-01-31,40130.979952883456
2015-02-28,34709.2875193822
2015-03-31,36107.02532376242
2015-04-30,34307.94379407034
2015-05-31,37017.68797173805
2015-06-30,44800.34054863073
2015-07-31,48872.07361771727
2015-08-31,50222.47650752605
2015-09-30,44969.67332757791
2015-10-31,38227.47939827264
2015-11-30,33197.716085095846
2015-12-31,34228.31842957577
2016-01-31,37105.57956272799
2016-02-29,33925.19678911018
2016-03-31,32512.249112668585
2016-04-30,33688.70060532125
2016-05-31,38455.21565068707
2016-06-30,45478.84128476987
2016-07-31,51132.15494918489
2016-08-31,49278.9406863032
2016-09-30,47143.421167110646
2016-10-31,39186.77813216929
2016-11-30,34067.61382903276
2016-12-31,37556.145566376144
2017-01-31,36397.48393742273
2017-02-28,34126.6413385753
2017-03-31,34612.87020547483
2017-04-30,36308.931249245834
2017-05-31,40215.13851875938
2017-06-30,46375.14952679732
2017-07-31,51099.54229122501
2017-08-31,50124.51297766666
2017-09-30,44255.49530089435
2017-10-31,39965.88934391786
2017-11-30,36030.14411446494
2017-12-31,38789.67340754405
2018-01-31,42453.49707600447
2018-02-28,38546.68762844941
2018-03-31,35120.610901486674
2018-04-30,35727.54097951071
2018-05-31,44091.16926245834
2018-06-30,51382.850743037205
2018-07-31,53498.84677703572
2018-08-31,52315.27186984226
2018-09-30,46452.403309222624
2018-10-31,39233.7092686875
2018-11-30,37596.16213731833
2018-12-31,38505.21081829881
2019-01-31,39829.25159749554
2019-02-28,39225.31985092113
2019-03-31,37543.62913492236
2019-04-30,36866.53089187798
2019-05-31,42246.414024745536
2019-06-30,48592.62574042143
2019-07-31,52446.47338354166
2019-08-31,56607.35826092857
2019-09-30,52172.79962329524
2019-10-31,41903.747567465776
2019-11-30,38987.725791371726
2019-12-31,38953.93225107262
2020-01-31,38931.310794802084
2020-02-29,40347.74988968304
2020-03-31,38306.36407258354
2020-04-30,37104.2549754375
2020-05-31,41759.91152679286
2020-06-30,48983.89959969196
2020-07-31,54609.55670422768
2020-08-31,54292.734053377375
2020-09-30,46644.19791650149
2020-10-31,42283.98701357589
2020-11-30,38050.713773846146
2020-12-31,40931.24703594197
2021-01-31,41226.51089498096
2021-02-28,43263.88807899256
2021-03-31,36659.962706875776
2021-04-30,38281.16366161905
2021-05-31,42654.27837452857
2021-06-30,51757.846635352675
2021-07-31,51762.893916383924
2021-08-31,55895.18058198333
2021-09-30,51467.87636927678
2021-10-31,44520.793196877385
2021-11-30,38746.24187761143
2021-12-31,40547.118481336314
2022-01-31,44359.012214189286
2022-02-28,46342.089075755954
2022-03-31,41090.338050932194
2022-04-30,42385.52925321131
2022-05-31,49994.86111228928
2022-06-30,58577.8820299375
2022-07-31,61132.84458487143
2022-08-31,58166.74200623214
2022-09-30,53046.027962241074
2022-10-31,43907.45642875119
2022-11-30,43213.80948770512
2022-12-31,45643.13913849405
2023-01-31,41585.629355951074
2023-02-28,46098.74680059524
2023-03-31,42769.20599203379
2023-04-30,42733.15107438017
