Hour_End,ERCOT
2002-01-06,32639.414172945955
2002-01-13,27859.12589841588
2002-01-20,28040.002752088698
2002-01-27,27590.0259609003
2002-02-03,28153.158597792062
2002-02-10,30004.935625063525
2002-02-17,28140.142452201195
2002-02-24,25954.327418252204
2002-03-03,32008.670397751972
2002-03-10,27892.126509402988
2002-03-17,26274.665683472344
2002-03-24,26949.087399389766
2002-03-31,26570.85505430465
2002-04-07,25764.88342446901
2002-04-14,27365.103068950757
2002-04-21,31181.503822246937
2002-04-28,32038.374766753106
2002-05-05,34852.62176156297
2002-05-12,35555.32285059272
2002-05-19,29152.084247069928
2002-05-26,30811.154827320213
2002-06-02,33720.67459895288
2002-06-09,37235.43828865975
2002-06-16,38142.04311024047
2002-06-23,37433.727318585195
2002-06-30,35953.92047575335
2002-07-07,35502.19365491348
2002-07-14,38503.987754116235
2002-07-21,37575.89561364608
2002-07-28,41754.5020627335
2002-08-04,41304.864653520104
2002-08-11,40219.42789850685
2002-08-18,39907.62918888059
2002-08-25,42384.928905455214
2002-09-01,39584.99529768909
2002-09-08,38049.015720305986
2002-09-15,36684.87444822329
2002-09-22,34210.23701265774
2002-09-29,32743.768690957368
2002-10-06,36142.028756343956
2002-10-13,28908.059372964635
2002-10-20,26039.474557942507
2002-10-27,26715.981678618828
2002-11-03,26794.387991388296
2002-11-10,26858.949166965158
2002-11-17,26300.751848047505
2002-11-24,26307.633031836252
2002-12-01,27878.191496083164
2002-12-08,30096.98390065129
2002-12-15,29810.548582118838
2002-12-22,27124.211153285538
2002-12-29,28512.22810217858
2003-01-05,27164.6082720749
2003-01-12,29072.39302800403
2003-01-19,32313.66122377684
2003-01-26,31923.698163855403
2003-02-02,28288.48214563622
2003-02-09,31169.13249050178
2003-02-16,27736.105673049176
2003-02-23,27903.41100662144
2003-03-02,33240.73675896107
2003-03-09,27829.551489421687
2003-03-16,25912.93670358312
2003-03-23,25641.596163123122
2003-03-30,26133.146838610526
2003-04-06,27213.952464322578
2003-04-13,26860.47806151985
2003-04-20,28469.003786423506
2003-04-27,29016.62155712939
2003-05-04,32476.26711051465
2003-05-11,36615.48854058023
2003-05-18,35008.638089726315
2003-05-25,33723.13232564296
2003-06-01,35522.68596227373
2003-06-08,35767.57440482277
2003-06-15,36490.154927172734
2003-06-22,37639.69494189553
2003-06-29,39547.6567402892
2003-07-06,37506.669996459605
2003-07-13,39239.701830704405
2003-07-20,40596.97527539668
2003-07-27,41241.794117869715
2003-08-03,42346.80063261455
2003-08-10,43520.49459771165
2003-08-17,38490.25494686538
2003-08-24,42244.16402210627
2003-08-31,40668.62134214219
2003-09-07,35019.948329819126
2003-09-14,34899.59014049391
2003-09-21,32813.112606553346
2003-09-28,33201.05932884261
2003-10-05,29144.474531232878
2003-10-12,31637.401476143794
2003-10-19,29238.111795060748
2003-10-26,29743.766001445823
2003-11-02,29321.145572456826
2003-11-09,29069.297427069163
2003-11-16,28040.831099969975
2003-11-23,27374.33231872591
2003-11-30,27862.76758992548
2003-12-07,28637.795112582426
2003-12-14,30304.965131151443
2003-12-21,30207.51748113283
2003-12-28,26543.559688780533
2004-01-04,27129.722234401066
2004-01-11,32293.134263905606
2004-01-18,27573.160074831285
2004-01-25,29884.420696407822
2004-02-01,30916.991329063658
2004-02-08,31500.783618655994
2004-02-15,32988.23982824001
2004-02-22,27516.118663417383
2004-02-29,28718.33297473679
2004-03-07,26771.542028494645
2004-03-14,26449.14932027014
2004-03-21,27681.5553610411
2004-03-28,27266.674707648486
2004-04-04,27307.677935380572
2004-04-11,27285.519537750584
2004-04-18,27453.504348978917
2004-04-25,29551.11800645143
2004-05-02,28505.013868479953
2004-05-09,29924.544720649363
2004-05-16,31099.289412675305
2004-05-23,35590.51222236777
2004-05-30,37094.53697498962
2004-06-06,37667.48479288864
2004-06-13,37224.44265529609
2004-06-20,38654.3150726419
2004-06-27,35804.35025742551
2004-07-04,37292.86212296572
2004-07-11,39878.31468990239
2004-07-18,42182.3026249932
2004-07-25,41077.82441333161
2004-08-01,39122.99527537342
2004-08-08,42931.82373783492
2004-08-15,37920.18727887703
2004-08-22,37716.42439756174
2004-08-29,41414.309236237335
2004-09-05,36969.37874136309
2004-09-12,36074.724444892854
2004-09-19,40332.592741738095
2004-09-26,36492.72478045833
2004-10-03,34023.476524357146
2004-10-10,31690.05246530357
2004-10-17,29318.171853365126
2004-10-24,35533.76266367262
2004-10-31,34274.23948378976
2004-11-07,27577.04571795767
2004-11-14,27873.291240943992
2004-11-21,27705.932429880726
2004-11-28,27218.350367836796
2004-12-05,30073.9641544124
2004-12-12,28432.872350375947
2004-12-19,31706.418952000295
2004-12-26,34349.169611217134
2005-01-02,27298.43316207738
2005-01-09,30722.361126166845
2005-01-16,30001.450481795317
2005-01-23,31083.93794497018
2005-01-30,30686.241494206337
2005-02-06,32764.290613645135
2005-02-13,29416.187343841062
2005-02-20,28207.97186508518
2005-02-27,28834.99007792862
2005-03-06,28217.52015887127
2005-03-13,27184.767391290614
2005-03-20,28096.93516227438
2005-03-27,27698.436769541677
2005-04-03,27778.908761282644
2005-04-10,28004.382723392853
2005-04-17,28071.095710357138
2005-04-24,29029.493692113094
2005-05-01,28889.245706738093
2005-05-08,28403.11596223809
2005-05-15,32788.53436745238
2005-05-22,36256.489088404756
2005-05-29,36659.59022951482
2005-06-05,36748.04462871639
2005-06-12,41245.97688764286
2005-06-19,42486.618000375
2005-06-26,41041.80477979513
2005-07-03,43564.05281714947
2005-07-10,42290.684904256195
2005-07-17,40560.574970812675
2005-07-24,42071.380923675955
2005-07-31,41306.40042361309
2005-08-07,41970.80326933333
2005-08-14,41104.03177023811
2005-08-21,43285.970787840444
2005-08-28,45439.22679117857
2005-09-04,41973.974148820955
2005-09-11,39131.406216469775
2005-09-18,41735.51906512621
2005-09-25,39997.18038067012
2005-10-02,40095.11552745179
2005-10-09,34085.563025090596
2005-10-16,31531.58714499963
2005-10-23,32269.192536666666
2005-10-30,27662.38614299124
2005-11-06,28973.289181858756
2005-11-13,32325.027503712943
2005-11-20,29552.271601006156
2005-11-27,27273.30842516221
2005-12-04,29452.00758991842
2005-12-11,35634.40989157135
2005-12-18,32005.198675055966
2005-12-25,30408.377323452383
2006-01-01,26930.699840702382
2006-01-08,27995.945929792895
2006-01-15,28837.567171628205
2006-01-22,29219.85177480584
2006-01-29,29324.11238465244
2006-02-05,28400.494755746204
2006-02-12,30658.587826336636
2006-02-19,32846.18679822662
2006-02-26,31294.10771020238
2006-03-05,28474.728311262006
2006-03-12,30231.742292099192
2006-03-19,28364.24549082681
2006-03-26,29549.409334655036
2006-04-02,29774.547991053874
2006-04-09,31282.328925486254
2006-04-16,32526.47523452077
2006-04-23,35596.12775369336
2006-04-30,31787.695396309522
2006-05-07,34717.9661837619
2006-05-14,34998.434217970236
2006-05-21,35046.06193654394
2006-05-28,40076.46877922024
2006-06-04,37125.898066488095
2006-06-11,42494.21138618398
2006-06-18,42243.3617721369
2006-06-25,41601.076342184526
2006-07-02,39273.04950860451
2006-07-09,38979.48276955158
2006-07-16,45482.61974973017
2006-07-23,45822.14674324334
2006-07-30,43390.6421673178
2006-08-06,45675.58003544643
2006-08-13,45588.395383066665
2006-08-20,47345.52805809584
2006-08-27,46700.2074774742
2006-09-03,41395.97777659524
2006-09-10,36638.64038780645
2006-09-17,39579.16446547024
2006-09-24,36931.038384708336
2006-10-01,35020.5262350186
2006-10-08,36958.354790746576
2006-10-15,31385.138373041664
2006-10-22,30946.19671474735
2006-10-29,28655.08806775786
2006-11-05,28748.873960698304
2006-11-12,29752.456984261902
2006-11-19,29099.67702355748
2006-11-26,27659.06359537193
2006-12-03,32690.264536055063
2006-12-10,34268.22678685714
2006-12-17,29402.11080042857
2006-12-24,30059.956594409283
2006-12-31,29783.469891952376
2007-01-07,30892.286336544676
2007-01-14,32025.991223833604
2007-01-21,40071.649852718685
2007-01-28,34707.528927074956
2007-02-04,35691.184266184195
2007-02-11,31515.014410023938
2007-02-18,35357.27805859077
2007-02-25,28441.291261620536
2007-03-04,29269.842900465108
2007-03-11,29094.8800930405
2007-03-18,28232.404253632198
2007-03-25,29491.644377214623
2007-04-01,30088.51520718094
2007-04-08,30270.28502070794
2007-04-15,29031.641383981885
2007-04-22,29048.76317547803
2007-04-29,30834.861942235908
2007-05-06,33109.674812190286
2007-05-13,34571.091610421085
2007-05-20,33604.720470861306
2007-05-27,33905.169515912254
2007-06-03,36053.58113499072
2007-06-10,40184.81060204672
2007-06-17,39534.37878631827
2007-06-24,39766.86449178187
2007-07-01,38360.8574784156
2007-07-08,37004.650432521026
2007-07-15,42085.949189007275
2007-07-22,39511.80758455885
2007-07-29,38947.705626854164
2007-08-05,42118.95395204424
2007-08-12,45929.57040570958
2007-08-19,44973.25819116039
2007-08-26,44793.75304571268
2007-09-02,40942.736293929345
2007-09-09,40484.67105932081
2007-09-16,38856.694442036816
2007-09-23,39835.07221325283
2007-09-30,39987.53852609524
2007-10-07,39783.79615327382
2007-10-14,36014.44644505652
2007-10-21,34414.83875366071
2007-10-28,28547.787952982144
2007-11-04,29364.325780675
2007-11-11,30370.22175945238
2007-11-18,30682.7794994693
2007-11-25,31534.215056082157
2007-12-02,30951.07524390805
2007-12-09,31188.186791004962
2007-12-16,34160.19017998391
2007-12-23,32514.788184333807
2007-12-30,32202.49941325595
